case,x,y,county,co_char,city,trafid1,trafid2
22,-120.59423059999999,46.638813889,77,Yakima,0,US-12,W POWERHOUSE
22,-120.59423059999999,46.638813889,77,Yakima,0,US-12,W POWERHOUSE
23,-123.48629440000002,47.063869444,27,Grays Harbor,0,CR- E SATSOP RD,
24,-122.62674720000001,47.3275,53,Pierce,0,CR-LOMBARD DR NW,
25,-122.734225,47.940188889,31,Jefferson,0,SR-19,
25,-122.734225,47.940188889,31,Jefferson,0,SR-19,
25,-122.734225,47.940188889,31,Jefferson,0,SR-19,
26,-119.0447972,46.728127778,21,Franklin,0,SR-17,
26,-119.0447972,46.728127778,21,Franklin,0,SR-17,
26,-119.0447972,46.728127778,21,Franklin,0,SR-17,
27,-117.20828329999999,47.694941666999995,63,Spokane,2113,SR-290,
28,-119.3892361,46.286172222,5,Benton,2475,SR-224,KEENE RD
28,-119.3892361,46.286172222,5,Benton,2475,SR-224,KEENE RD
29,-122.26730829999998,47.937058333,61,Snohomish,690,SEAWAY BLVD,
31,-122.7846,47.481644444,35,Kitsap,0,SR-3,
31,-122.7846,47.481644444,35,Kitsap,0,SR-3,
32,-122.25128889999999,46.835138889,53,Pierce,0,CR-ALDER CUTOFF RD E,
33,-120.68307779999999,46.720247222,77,Yakima,1440,US-12,
34,-120.34548889999999,46.434405556,77,Yakima,0,I-82,
34,-120.34548889999999,46.434405556,77,Yakima,0,I-82,
35,-122.5551722,45.614341667,11,Clark,2370,SE 10TH ST,SE NANCY RD
36,-122.77530279999999,46.31885,15,Cowlitz,0,SR-504,
36,-122.77530279999999,46.31885,15,Cowlitz,0,SR-504,
37,-122.28619170000002,47.54603611100001,33,King,1960,S GRAHAM ST,
38,-122.08794170000002,47.717611111000004,33,King,0,CR-AVONDALE RD NE,NE 132ND ST
38,-122.08794170000002,47.717611111000004,33,King,0,CR-AVONDALE RD NE,NE 132ND ST
39,-122.4810861,48.714666666999996,73,Whatcom,110,SR-11,
40,-122.079925,47.195080556,33,King,0,CR-196TH AVE SE,
41,-122.4350528,47.136388888999996,53,Pierce,0,CR-113TH ST S,
41,-122.4350528,47.136388888999996,53,Pierce,0,CR-113TH ST S,
42,-122.25735,47.8495,61,Snohomish,0,I-5,
42,-122.25735,47.8495,61,Snohomish,0,I-5,
42,-122.25735,47.8495,61,Snohomish,0,I-5,
43,-119.4869472,45.945558333,5,Benton,0,SR-14,
43,-119.4869472,45.945558333,5,Benton,0,SR-14,
44,-120.62035279999999,46.660566667,77,Yakima,0,US-12,MAPLEWAY RD
44,-120.62035279999999,46.660566667,77,Yakima,0,US-12,MAPLEWAY RD
45,-117.37973889999999,47.168369444,75,Whitman,0,US-195,
45,-117.37973889999999,47.168369444,75,Whitman,0,US-195,
46,-122.52376940000002,45.726391667,11,Clark,0,CR-NE 144TH ST,
47,-122.86139720000001,46.297847222,15,Cowlitz,0,SR-504,
47,-122.86139720000001,46.297847222,15,Cowlitz,0,SR-504,
48,-122.34469720000001,47.704922222,33,King,1960,SR-99,N NORTHGATE WY
49,-122.3065444,47.675797222,33,King,1960,NE 65 ST,20 AVE NE
50,-122.3338361,47.491394443999994,33,King,229,1ST AVE S,
51,-122.29777220000001,47.316266667,33,King,0,I-5 RAMP R114450,
52,-120.62310829999998,47.04298888899999,37,Kittitas,0,SR-10,ONEIL RD
53,-117.41108059999999,47.686194443999995,63,Spokane,2110,US-2,E EUCLID AVE
54,-122.1339861,47.603227778000004,33,King,109,LAKE HILLS BLVD,
55,-119.00509440000002,46.548397222,21,Franklin,0,US-395,
56,-122.30000279999999,47.375819443999994,33,King,1030,SR-99,S 252ND ST
56,-122.30000279999999,47.375819443999994,33,King,1030,SR-99,S 252ND ST
57,-122.3788639,47.230430556,53,Pierce,0,SR-167,GRATZER RD E
57,-122.3788639,47.230430556,53,Pierce,0,SR-167,GRATZER RD E
57,-122.3788639,47.230430556,53,Pierce,0,SR-167,GRATZER RD E
58,-119.12921670000001,47.13011388899999,25,Grant,0,CR-RD 3 NE,RD Q NE
58,-119.12921670000001,47.13011388899999,25,Grant,0,CR-RD 3 NE,RD Q NE
59,-123.6625778,48.072955556000004,9,Clallam,0,US-101,
60,-122.1744472,48.011880556,61,Snohomish,0,I-5,
60,-122.1744472,48.011880556,61,Snohomish,0,I-5,
61,-122.262475,47.464616667,33,King,2310,I-5 RAMP Q115518,
62,-123.80236940000002,46.969669444,27,Grays Harbor,10,SR-105 SPUR BOONE,W SCOTT ST
63,-117.22928059999998,47.627866667,63,Spokane,2113,E 32ND,
63,-117.22928059999998,47.627866667,63,Spokane,2113,E 32ND,
64,-122.7898639,46.988941667,67,Thurston,0,CR-YELM HWY SE,CANTERWOOD DR SE
64,-122.7898639,46.988941667,67,Thurston,0,CR-YELM HWY SE,CANTERWOOD DR SE
65,-122.2445639,47.928425,61,Snohomish,690,HARDESON RD,
66,-122.4859,48.857525,73,Whatcom,0,SR-539,
66,-122.4859,48.857525,73,Whatcom,0,SR-539,
67,-122.6472139,45.667675,11,Clark,0,CR-NE MINNEHAHA ST,
68,-117.23930559999998,47.674161111000004,63,Spokane,2113,I-90,
69,-122.15745,47.711625,33,King,1050,NE 124TH ST,
70,-122.3282333,47.466897222,33,King,229,S 152ND ST,
71,-122.2609028,47.273055556,33,King,0,CR-W VALLEY HWY S,
72,-123.81636110000001,46.976216666999996,27,Grays Harbor,10,H ST S,MARKET ST
73,-122.33908329999998,48.507066667,57,Skagit,0,I-5,
74,-119.1352944,46.251786111,21,Franklin,1660,I-182 RAMP S101140,
75,-122.43970829999999,47.15543611100001,53,Pierce,0,CR-112TH ST S,
75,-122.43970829999999,47.15543611100001,53,Pierce,0,CR-112TH ST S,
76,-122.29841110000001,47.195402778,53,Pierce,1770,4TH ST NW,5TH AVE NW
76,-122.29841110000001,47.195402778,53,Pierce,1770,4TH ST NW,5TH AVE NW
76,-122.29841110000001,47.195402778,53,Pierce,1770,4TH ST NW,5TH AVE NW
77,-122.2660972,47.768308333,33,King,1018,NE 193RD ST,
78,-120.79035,47.114605556,37,Kittitas,0,I-90,
79,-120.65236940000001,47.484536111000004,7,Chelan,0,US-97,
79,-120.65236940000001,47.484536111000004,7,Chelan,0,US-97,
80,-122.33636940000001,47.227961111000006,53,Pierce,747,70TH AVE E,VALLEY AVE E
80,-122.33636940000001,47.227961111000006,53,Pierce,747,70TH AVE E,VALLEY AVE E
80,-122.33636940000001,47.227961111000006,53,Pierce,747,70TH AVE E,VALLEY AVE E
80,-122.33636940000001,47.227961111000006,53,Pierce,747,70TH AVE E,VALLEY AVE E
81,-119.0653889,47.898122222,25,Grant,0,CR-BAY AREA DR,
82,-122.33430829999999,47.595836111000004,33,King,1960,SR-99,
83,-122.8935083,47.056322222,67,Thurston,1590,EAST BAY DR,
84,-122.7031528,47.659488888999995,35,Kitsap,0,CR-NW GREAVES WAY,CR-OLD FRONTIER RD NW
85,-119.5649361,48.367277778,47,Okanogan,0,US-97,CR-ARMORY ACCESS RD
85,-119.5649361,48.367277778,47,Okanogan,0,US-97,CR-ARMORY ACCESS RD
86,-122.11444440000001,47.954513889,61,Snohomish,0,US-2,
86,-122.11444440000001,47.954513889,61,Snohomish,0,US-2,
86,-122.11444440000001,47.954513889,61,Snohomish,0,US-2,
87,-117.6222861,47.843855556,65,Stevens,0,SR-291,
88,-123.26699170000002,47.078855556,27,Grays Harbor,0,CR-ELMA-HICKLIN RD,CR-SUMMIT RD
88,-123.26699170000002,47.078855556,27,Grays Harbor,0,CR-ELMA-HICKLIN RD,CR-SUMMIT RD
89,-122.4781944,48.714602778,73,Whatcom,110,SR-11,30TH ST
90,-122.8683306,46.068366667,15,Cowlitz,0,I-5,
91,-123.7469278,46.801311111000004,27,Grays Harbor,0,US-101,
91,-123.7469278,46.801311111000004,27,Grays Harbor,0,US-101,
92,-122.35002779999999,47.48798888899999,33,King,229,ALBAUM BLVD SW,
92,-122.35002779999999,47.48798888899999,33,King,229,ALBAUM BLVD SW,
93,-120.520025,46.667569443999994,77,Yakima,0,SR-823,
94,-122.4403028,46.54231944399999,41,Lewis,0,US-12,
95,-117.49654440000002,47.960491667,63,Spokane,0,US-395,W DAHL RD
95,-117.49654440000002,47.960491667,63,Spokane,0,US-395,W DAHL RD
96,-120.7328222,46.346466667,77,Yakima,0,CR-SIGNAL PEAK,FT SIMCOE RD
97,-122.2916222,47.395236111,33,King,1958,I-5,
97,-122.2916222,47.395236111,33,King,1958,I-5,
97,-122.2916222,47.395236111,33,King,1958,I-5,
98,-122.34426670000002,48.239894443999994,61,Snohomish,2140,SR-532,PIONEER HWY
99,-122.82288059999999,46.575619444,41,Lewis,0,SR-508,
100,-119.98688059999999,46.316755556000004,77,Yakima,2220,E LINCOLN AVE,
101,-122.49685559999999,48.891716667,73,Whatcom,0,CR-OLD GUIDE RD,
102,-117.3041528,47.656858333,63,Spokane,2113,E SPRAGUE AVE,N PARK RD
102,-117.3041528,47.656858333,63,Spokane,2113,E SPRAGUE AVE,N PARK RD
103,-122.17588889999999,47.303744443999996,33,King,0,SR-18,
104,-122.36800829999999,46.926736111000004,53,Pierce,0,CR-TANWAX BLVD E,46TH AVE E
105,-122.5206861,48.790552778,73,Whatcom,0,I-5,
106,-122.65469170000001,48.720538889,73,Whatcom,0,CR-LUMMI VIEW DR,
107,-117.71986670000001,48.28613888899999,65,Stevens,0,US-395,
107,-117.71986670000001,48.28613888899999,65,Stevens,0,US-395,
109,-124.2441528,48.067122221999995,9,Clallam,0,US-101,
110,-122.5546028,46.937269443999995,53,Pierce,0,SR-507,
111,-119.27372220000001,46.278072222,5,Benton,1850,GEORGE WASHINGTON WAY,
111,-119.27372220000001,46.278072222,5,Benton,1850,GEORGE WASHINGTON WAY,
111,-119.27372220000001,46.278072222,5,Benton,1850,GEORGE WASHINGTON WAY,
112,-122.62504720000001,47.409319444,35,Kitsap,0,SR-16,
113,-122.41911670000002,47.191744443999994,53,Pierce,2230,E 72ND ST,E I ST
114,-122.63040829999998,48.859983333,73,Whatcom,740,MONUMENTAL DR,
115,-122.1263389,48.180822221999996,61,Snohomish,80,204TH ST NE,77TH AVE NE
115,-122.1263389,48.180822221999996,61,Snohomish,80,204TH ST NE,77TH AVE NE
115,-122.1263389,48.180822221999996,61,Snohomish,80,204TH ST NE,77TH AVE NE
116,-122.23005,48.385536111,57,Skagit,0,SR-9,
116,-122.23005,48.385536111,57,Skagit,0,SR-9,
117,-122.319725,47.603525,33,King,1960,BOREN AVE,E SPRUCE ST
118,-122.29326940000001,47.340438889,33,King,735,I-5,
119,-122.24982220000001,47.307375,33,King,100,SR-167 RAMP S100227,SR-18
120,-119.13338059999998,47.423025,25,Grant,0,CR-RD 22 NE,
121,-122.970175,46.689269444,41,Lewis,0,I-5,
121,-122.970175,46.689269444,41,Lewis,0,I-5,
121,-122.970175,46.689269444,41,Lewis,0,I-5,
122,-122.82111940000001,46.659822221999995,41,Lewis,0,CR-CENTRALIA ALPHA RD,
123,-119.17550559999998,46.835302778,1,Adams,1630,BROADWAY AVE,
124,-117.34958610000001,47.999275,63,Spokane,0,US-2,
125,-122.29616940000001,47.445136111000004,33,King,1958,SR-99,
125,-122.29616940000001,47.445136111000004,33,King,1958,SR-99,
126,-122.34474440000001,47.611172222,33,King,1960,WESTERN AVE,LENORA ST
127,-117.07744170000001,46.188913889,3,Asotin,0,SR-129,
127,-117.07744170000001,46.188913889,3,Asotin,0,SR-129,
128,-122.67854170000001,45.800352778000004,11,Clark,1860,I-5,
128,-122.67854170000001,45.800352778000004,11,Clark,1860,I-5,
129,-121.05706670000001,45.912922222,39,Klickitat,0,CR-GLENWOOD HWY,
129,-121.05706670000001,45.912922222,39,Klickitat,0,CR-GLENWOOD HWY,
129,-121.05706670000001,45.912922222,39,Klickitat,0,CR-GLENWOOD HWY,
130,-122.29659440000002,47.386,33,King,1030,SR-99,
131,-122.62890829999999,47.623561111,35,Kitsap,0,SR-303,
132,-121.618725,45.729330556,59,Skamania,0,CR-COOK UNDERWOOD RD,
133,-122.9275139,46.120527778,15,Cowlitz,1190,SR-411,
133,-122.9275139,46.120527778,15,Cowlitz,1190,SR-411,
134,-122.84433059999999,46.872455556000006,67,Thurston,0,CR-OLD HIGHWAY 99,
134,-122.84433059999999,46.872455556000006,67,Thurston,0,CR-OLD HIGHWAY 99,
135,-119.18775559999999,46.738066667,1,Adams,0,SR-24,
135,-119.18775559999999,46.738066667,1,Adams,0,SR-24,
136,-121.7475111,47.473233333,33,King,0,I-90,
137,-120.46459440000001,46.500269444,77,Yakima,0,US-97,
138,-117.130175,48.147830556,51,Pend Oreille,0,US-2,
138,-117.130175,48.147830556,51,Pend Oreille,0,US-2,
139,-122.39908059999999,48.442822222,57,Skagit,0,SR-536,
139,-122.39908059999999,48.442822222,57,Skagit,0,SR-536,
141,-122.4644944,47.182202778000004,53,Pierce,2230,I-5,
141,-122.4644944,47.182202778000004,53,Pierce,2230,I-5,
141,-122.4644944,47.182202778000004,53,Pierce,2230,I-5,
141,-122.4644944,47.182202778000004,53,Pierce,2230,I-5,
142,-122.15095559999999,47.089927778,53,Pierce,0,CR-PATTERSON RD E,213TH AVE CT E
143,-122.34990829999998,48.557852778000004,57,Skagit,0,I-5,
143,-122.34990829999998,48.557852778000004,57,Skagit,0,I-5,
144,-122.55183889999999,45.6038,11,Clark,2370,SR-14,
145,-122.53510279999999,47.131713889,53,Pierce,1124,I-5,
145,-122.53510279999999,47.131713889,53,Pierce,1124,I-5,
147,-122.975825,47.309766667,45,Mason,0,CR-E MASON LAKE RD,
148,-118.3661167,47.116683333000005,1,Adams,0,US-395,
149,-123.01731389999999,46.787097222,67,Thurston,0,CR-OLD HIGHWAY 9,
150,-122.50908059999999,47.159480556000005,53,Pierce,1124,108TH ST SW,DOUGLAS DR SW
151,-122.82298610000001,45.97968611100001,15,Cowlitz,0,I-5 RAMP P102740,
152,-122.44526670000002,45.578561111000006,11,Clark,240,SR-14,
153,-123.0280528,47.257569444,45,Mason,0,SR-3,
153,-123.0280528,47.257569444,45,Mason,0,SR-3,
153,-123.0280528,47.257569444,45,Mason,0,SR-3,
154,-119.13294170000002,46.871158333000004,1,Adams,0,SR-17,
155,-122.25980559999999,47.273238889,33,King,1640,SR-167 RAMP R101262,
155,-122.25980559999999,47.273238889,33,King,1640,SR-167 RAMP R101262,
155,-122.25980559999999,47.273238889,33,King,1640,SR-167 RAMP R101262,
155,-122.25980559999999,47.273238889,33,King,1640,SR-167 RAMP R101262,
156,-119.48493329999998,47.104144444,25,Grant,0,I-90,
157,-122.18834720000001,48.822311111000005,73,Whatcom,0,SR-542,
157,-122.18834720000001,48.822311111000005,73,Whatcom,0,SR-542,
157,-122.18834720000001,48.822311111000005,73,Whatcom,0,SR-542,
158,-117.2471389,47.607019443999995,63,Spokane,0,CR-DISHMAN MICA,
159,-122.5219472,45.85685,11,Clark,0,SR-503,NE ROCK CREEK RD
160,-122.76429170000002,47.377641667,53,Pierce,0,CR-WRIGHT BLISS RD KPN,
160,-122.76429170000002,47.377641667,53,Pierce,0,CR-WRIGHT BLISS RD KPN,
160,-122.76429170000002,47.377641667,53,Pierce,0,CR-WRIGHT BLISS RD KPN,
161,-122.29369720000001,47.474325,33,King,1958,S 144TH ST,
162,-119.04819170000002,46.799541667,1,Adams,0,SR-26,BOOKER RD
162,-119.04819170000002,46.799541667,1,Adams,0,SR-26,BOOKER RD
163,-123.0089722,46.777527778,67,Thurston,0,CR-OLD HWY 99 SW,
163,-123.0089722,46.777527778,67,Thurston,0,CR-OLD HWY 99 SW,
164,-119.15901670000001,46.183897222,5,Benton,1020,W 27TH AVE,S ELY ST
164,-119.15901670000001,46.183897222,5,Benton,1020,W 27TH AVE,S ELY ST
165,-122.56119720000001,45.931630556,11,Clark,0,CR-NE CEDAR CREEK RD,
166,-122.50232779999999,47.267352778,53,Pierce,2230,N 21ST ST,FERDINAND
167,-122.2950861,47.343355556000006,33,King,735,S 288TH ST,
168,-122.6946778,47.577986111,35,Kitsap,180,KITSAY WA,
169,-120.34623059999998,47.442086111,7,Chelan,2460,N WESTERN AVE,
170,-122.3856361,47.243158333000004,53,Pierce,747,PACIFIC HWY E,PORT OF TACOMA RD E
170,-122.3856361,47.243158333000004,53,Pierce,747,PACIFIC HWY E,PORT OF TACOMA RD E
171,-117.3953389,47.718588888999996,63,Spokane,2110,NEVADA,LYONS
171,-117.3953389,47.718588888999996,63,Spokane,2110,NEVADA,LYONS
172,-122.364775,47.700338888999994,33,King,1960,HOLMAN RD NW,
172,-122.364775,47.700338888999994,33,King,1960,HOLMAN RD NW,
173,-122.33555829999999,47.506758333,33,King,0,CR-108TH SW,
175,-122.24941670000001,47.408519444,33,King,1030,SR-181,S 216TH ST
175,-122.24941670000001,47.408519444,33,King,1030,SR-181,S 216TH ST
176,-123.86561940000001,48.051025,9,Clallam,0,US-101,
177,-122.344725,47.707430556000006,33,King,1960,SR-99,
178,-119.76050829999998,46.986352778000004,25,Grant,0,CR-ADAM RD S,FRENCHMAN HILLS RD W
178,-119.76050829999998,46.986352778000004,25,Grant,0,CR-ADAM RD S,FRENCHMAN HILLS RD W
179,-120.93423059999999,46.819261111,77,Yakima,0,CR-NILE RD,
180,-122.407525,48.964058333000004,73,Whatcom,1210,SR-546,NORTHWOOD RD
180,-122.407525,48.964058333000004,73,Whatcom,1210,SR-546,NORTHWOOD RD
181,-120.1303389,47.660183333,17,Douglas,0,US-2,
182,-122.40460559999998,47.938394444,29,Island,0,CR-BAILEY RD,
182,-122.40460559999998,47.938394444,29,Island,0,CR-BAILEY RD,
183,-117.58955559999998,47.345247222,63,Spokane,0,CR-ROCK LAKE RD,
184,-122.6933,48.935627778000004,73,Whatcom,0,CR-BIRCH BAY LINDEN RD,
185,-117.39238059999998,48.811530556,51,Pend Oreille,0,CR-LEHIGH HILL RD,
186,-122.3931611,47.118594443999996,53,Pierce,0,CR-152ND ST E,27TH AVE E
187,-122.0321639,47.554694444,33,King,980,SE 53RD ST,
188,-122.5225639,45.617544443999996,11,Clark,2370,SE MILL PLAIN BLVD,SE PARK CREST BLVD
189,-122.45828329999999,45.580608333,11,Clark,240,SW VIOLA ST,
190,-123.01161670000002,47.992819444,9,Clallam,0,WOODS DR,
191,-119.48624170000001,47.401383333000005,25,Grant,0,SR-17,
192,-122.67871389999999,47.566072221999995,35,Kitsap,180,BAY VISTA BLVD,
193,-122.56908059999999,47.736808333,35,Kitsap,0,CR-COLUMBIA ST NE,
194,-119.0203028,46.719491667,21,Franklin,0,SR-17,
194,-119.0203028,46.719491667,21,Franklin,0,SR-17,
195,-122.32019440000002,47.587658333,33,King,1960,I-5 RAMP P116421,
196,-122.0722861,47.142386111,53,Pierce,0,SR-162,
197,-122.13221940000001,45.595458333,59,Skamania,0,SR-14,
198,-119.5061611,48.418944444,47,Okanogan,1600,US-97,
198,-119.5061611,48.418944444,47,Okanogan,1600,US-97,
199,-117.47950559999998,47.634758333,63,Spokane,0,I-90 RAMP R127825,
200,-117.673025,46.812652778,75,Whitman,0,SR-26,
200,-117.673025,46.812652778,75,Whitman,0,SR-26,
201,-122.801925,47.08325,67,Thurston,0,CR-CARPENTER RD NE,
202,-119.00183059999999,46.585647222,21,Franklin,0,SR-17,
202,-119.00183059999999,46.585647222,21,Franklin,0,SR-17,
202,-119.00183059999999,46.585647222,21,Franklin,0,SR-17,
203,-122.45735829999998,47.155627778,53,Pierce,0,CR-112TH ST S,
204,-119.93831940000001,46.737502778,25,Grant,0,CR-24 SW,
205,-119.3504111,46.737811111000006,1,Adams,0,SR-24,
205,-119.3504111,46.737811111000006,1,Adams,0,SR-24,
206,-122.25583610000001,47.295619443999996,33,King,100,SR-167 RAMP LX01577,15TH ST NW
206,-122.25583610000001,47.295619443999996,33,King,100,SR-167 RAMP LX01577,15TH ST NW
206,-122.25583610000001,47.295619443999996,33,King,100,SR-167 RAMP LX01577,15TH ST NW
206,-122.25583610000001,47.295619443999996,33,King,100,SR-167 RAMP LX01577,15TH ST NW
206,-122.25583610000001,47.295619443999996,33,King,100,SR-167 RAMP LX01577,15TH ST NW
207,-121.90863610000001,47.510636111000004,33,King,0,I-90,
208,-122.2519472,47.888377778,61,Snohomish,0,CR-ADMIRALTY WAY,121ST ST SW
209,-122.4622139,47.191572222,53,Pierce,2230,I-5 RAMP Q113002,
211,-122.2289,47.270580556000006,33,King,100,A ST E,
211,-122.2289,47.270580556000006,33,King,100,A ST E,
212,-122.25705829999998,46.574638889,41,Lewis,0,SR-7,
213,-122.6126361,48.512613888999994,57,Skagit,50,SR-20,COMMERCIAL AVE
214,-120.46791110000001,46.584847222,77,Yakima,0,SR-24,BIRCHFIELD RD
214,-120.46791110000001,46.584847222,77,Yakima,0,SR-24,BIRCHFIELD RD
215,-121.90851940000002,47.732427778,33,King,0,CR-KELLY RD NE,
216,-117.50846670000001,47.772883333,63,Spokane,0,CR-W RUTER PKWY,
217,-123.1645111,48.039627778,9,Clallam,0,CR-LOST MOUNTAIN RD,
218,-120.1418472,46.941363888999994,37,Kittitas,0,I-90,
219,-122.3019611,47.343405556,33,King,735,S 288TH ST,
220,-120.0007861,46.185263889,77,Yakima,0,CR-GLADE RD,
221,-121.9159194,47.641025,33,King,254,SR-203,
222,-119.43346389999999,47.573655556000006,25,Grant,0,SR-17,
222,-119.43346389999999,47.573655556000006,25,Grant,0,SR-17,
223,-122.23485559999999,47.508322222,33,King,0,CR-RAINER AVE S,S 105TH ST
223,-122.23485559999999,47.508322222,33,King,0,CR-RAINER AVE S,S 105TH ST
224,-122.3728639,47.243119443999994,53,Pierce,747,PACIFIC HWY E,ALEXANDER AVE E
224,-122.3728639,47.243119443999994,53,Pierce,747,PACIFIC HWY E,ALEXANDER AVE E
224,-122.3728639,47.243119443999994,53,Pierce,747,PACIFIC HWY E,ALEXANDER AVE E
224,-122.3728639,47.243119443999994,53,Pierce,747,PACIFIC HWY E,ALEXANDER AVE E
224,-122.3728639,47.243119443999994,53,Pierce,747,PACIFIC HWY E,ALEXANDER AVE E
226,-119.78256110000001,46.693580556,25,Grant,0,CR-RD 27 SW,
227,-120.5174389,46.375341667,77,Yakima,0,CR-FT ROAD,
227,-120.5174389,46.375341667,77,Yakima,0,CR-FT ROAD,
228,-122.45949440000001,47.268213888999995,53,Pierce,2230,TACOMA AVE N,N 9TH ST
229,-123.13315829999999,47.109727778,45,Mason,0,SR-108,
230,-122.30394170000001,47.834111111000006,61,Snohomish,1215,SR-99,
231,-122.68562779999999,47.701205556000005,35,Kitsap,0,SR-3 LX04848,SR-308
232,-122.9994639,46.776344443999996,67,Thurston,0,I-5,
232,-122.9994639,46.776344443999996,67,Thurston,0,I-5,
233,-122.68578329999998,45.815913888999994,11,Clark,1860,I-5,
234,-122.3200472,47.573280556,33,King,1960,I-5,
234,-122.3200472,47.573280556,33,King,1960,I-5,
235,-121.56251940000001,47.809011111000004,61,Snohomish,0,US-2,
236,-122.31950829999998,47.594394443999995,33,King,1960,I-5 RAMP R116473,
236,-122.31950829999998,47.594394443999995,33,King,1960,I-5 RAMP R116473,
237,-122.25842220000001,48.458325,57,Skagit,0,CR-MUD LAKE,
238,-120.01284440000002,48.102858333,47,Okanogan,0,SR-153,
238,-120.01284440000002,48.102858333,47,Okanogan,0,SR-153,
239,-122.91653329999998,46.778611111000004,67,Thurston,0,SR-507,
240,-122.1481722,47.355472221999996,33,King,1030,145 AVE SE,
241,-120.6668611,46.645844444,77,Yakima,0,CR-WEIKEL RD,
242,-122.2572944,48.238933333,61,Snohomish,0,CR-268TH ST NW,
242,-122.2572944,48.238933333,61,Snohomish,0,CR-268TH ST NW,
244,-122.309775,48.881166666999995,73,Whatcom,0,SR-9,
245,-118.67808889999999,46.297166667,71,Walla Walla,0,SR-124,
246,-122.94011110000001,46.832177778,67,Thurston,0,CR-OLD HWY 99,
246,-122.94011110000001,46.832177778,67,Thurston,0,CR-OLD HWY 99,
246,-122.94011110000001,46.832177778,67,Thurston,0,CR-OLD HWY 99,
246,-122.94011110000001,46.832177778,67,Thurston,0,CR-OLD HWY 99,
247,-117.22383889999999,47.573666667,63,Spokane,0,SR-27,
248,-122.62504440000001,45.638819444,11,Clark,2370,E FOURTH PLAIN ST,
249,-122.39559440000001,47.243219444,53,Pierce,747,PACIFIC HWY E,
249,-122.39559440000001,47.243219444,53,Pierce,747,PACIFIC HWY E,
250,-123.48163329999998,46.999555556000004,27,Grays Harbor,0,US-12,FOURTH ST
250,-123.48163329999998,46.999555556000004,27,Grays Harbor,0,US-12,FOURTH ST
250,-123.48163329999998,46.999555556000004,27,Grays Harbor,0,US-12,FOURTH ST
251,-120.06266389999999,46.331138888999995,77,Yakima,0,CR-OUTLOOK RD,
251,-120.06266389999999,46.331138888999995,77,Yakima,0,CR-OUTLOOK RD,
251,-120.06266389999999,46.331138888999995,77,Yakima,0,CR-OUTLOOK RD,
252,-122.55740559999998,47.118133333,53,Pierce,0,I-5,
252,-122.55740559999998,47.118133333,53,Pierce,0,I-5,
253,-122.2087861,47.867094443999996,61,Snohomish,1338,VILLAGE GREEN DR,
253,-122.2087861,47.867094443999996,61,Snohomish,1338,VILLAGE GREEN DR,
254,-122.01213059999999,47.333986111,33,King,0,SR-169,
255,-120.52574440000001,46.625616666999996,77,Yakima,2590,US-12,
255,-120.52574440000001,46.625616666999996,77,Yakima,2590,US-12,
256,-122.1846806,47.67779444399999,33,King,1050,I-405,
257,-119.48085,48.485011111000006,47,Okanogan,0,CR-OMAK-RIVERSIDE E RD,
